n,Tempo de Execução
100,0.0017161369323730469
200,0.006654262542724609
400,0.02791285514831543
800,0.11320352554321289
1000,0.1769559383392334
1200,0.2620420455932617
1400,0.35824036598205566
1600,0.4774787425994873
1800,0.6146416664123535
2000,0.7713444232940674
2500,1.2350351810455322
3000,1.8156049251556396
3500,2.5184454917907715
4000,3.303554058074951
