n,Tempo de Execução,Tempo de Comunicação,
100,0.000310939,2.14748e+09,
200,0.000567114,2.14748e+09,
400,0.000861628,2.14748e+09,
800,0.00206866,2.14748e+09,
1000,0.00283385,2.14748e+09,
1200,0.00372468,2.14748e+09,
1400,0.00473904,2.14748e+09,
1600,0.00583795,2.14748e+09,
1800,0.00712724,2.14748e+09,
2000,0.00852576,2.14748e+09,
2500,0.0124421,2.14748e+09,
3000,0.0171199,2.14748e+09,
3500,0.0222494,2.14748e+09,
4000,0.0280665,2.14748e+09,
