n,Tempo de Execução,
100,0.0032478,
200,0.0153554,
400,0.118893,
800,0.977087,
1000,1.90726,
1200,3.34739,
1400,5.40611,
1600,8.03202,
1800,11.451,
2000,15.6601,
2500,30.6041,
3000,52.7422,
3500,83.6988,
4000,125.14,
