n,Tempo de Execução
100,0.0035200119018554688
200,0.010016202926635742
400,0.02039813995361328
800,0.04695773124694824
1000,0.07427740097045898
1200,0.20206475257873535
1400,0.13694167137145996
1600,0.19144606590270996
1800,0.23337960243225098
2000,0.2770676612854004
2500,0.4261314868927002
3000,0.5430483818054199
3500,0.7307565212249756
4000,0.9560492038726807
