n,Tempo de Execução,Tempo de Comunicação,
100,0.000173397,2.14748e+09,
200,0.000455395,2.14748e+09,
400,0.00067196,2.14748e+09,
800,0.00218601,2.14748e+09,
1000,0.0032652,2.14748e+09,
1200,0.00455209,2.14748e+09,
1400,0.00607444,2.14748e+09,
1600,0.00786717,2.14748e+09,
1800,0.00989902,2.14748e+09,
2000,0.0120751,2.14748e+09,
2500,0.0185453,2.14748e+09,
3000,0.0262708,2.14748e+09,
3500,0.0350972,2.14748e+09,
4000,0.0453249,2.14748e+09,
