n,Tempo de Execução,
100,0.0170307,
200,0.085432,
400,0.448675,
800,4.42252,
1000,7.1654,
1200,10.9,
1400,18.6179,
1600,25.4336,
1800,35.0203,
2000,52.6237,
2500,93.1674,
3000,147.185,
3500,259.712,
4000,370.654,
