n,Tempo de Execução,
100,0.00737462,
200,0.0393073,
400,0.22573,
800,1.52459,
1000,2.85399,
1200,4.89042,
1400,9.75466,
1600,14.8391,
1800,20.7068,
2000,28.7265,
2500,57.2872,
3000,75.0262,
3500,116.277,
4000,182.724,
